canonical,variant,type
CarMax Business Services,CARMAX BUSINESS SERVICES,typography
Mulligan Software,MulliganSoftware,punctuation
Transneft,transneft,typography
Groupe ADP,GROUPE ADP,typography
D.R. Horton,DRHorton,punctuation
Annaly Capital Management,AnnalyCapitalManagement,punctuation
M&T Bank,M&T BANK,typography
Westlake Chemical Corporation,WestlakeChemicalCorporation,punctuation
T&D Holdings,t&d holdings,typography
Terumo Corporation,terumo corporation,typography
Innovative Client Connections,innovative client connections,typography
M&T Bank,m&t bank,typography
China Telecom Corporation,ChinaTelecomCorporation,punctuation
University of Missouri,UoM,abbreviation
Secure Store,SecureStore,punctuation
United Parcel Service of America,UnitedParcelServiceofAmerica,punctuation
Bridgestone Americas,BRIDGESTONE AMERICAS,typography
Celanese Corporation,celanese corporation,typography
Shimao Property Holdings,ShimaoPropertyHoldings,punctuation
Anheuser-Busch InBev,Anheuser-BuschInBev,punctuation
Huansheng Ecommerce,huansheng ecommerce,typography
ActuatedMedical,actuatedmedical,typography
The Move Crew,TheMoveCrew,punctuation
J.F. Shea,j.f. shea,typography
Kaiser Foundation Health Plan,KAISER FOUNDATION HEALTH PLAN,typography
NRG Energy,NRGEnergy,punctuation
Marsh & McLennan,MarshMcLennan,punctuation
Emirates NBD Bank,ENB,abbreviation
Home Depot Product Authority,HomeDepotProductAuthority,punctuation
ADS Alliance Data Systems,ADS ALLIANCE DATA SYSTEMS,typography
Suncorp Group,Suncorp,partial
Evonik Industries,EvonikIndustries,punctuation
PTT Global Chemical,PTT Global,brand_parent
Fifth Third Bank,FIFTH THIRD BANK,typography
Alinma Bank,Alinma,partial
EFU Life Assurance,EFU,partial
Lendmark Financial Services,Lendmark Financial,brand_parent
Hyundai Steel,HyundaiSteel,punctuation
Shearer's Foods,SHEARER'S FOODS,typography
Comcast,COMCAST,typography
Sempra Energy,Sempra,partial
CREDIT SUISSE GROUP,credit suisse group,typography
Sealed Air,sealed air,typography
Laboratory Corporation of America Holdings,LaboratoryCorporationofAmericaHoldings,punctuation
UNIBAIL-RODAMCO-WESTFIELD,URW,abbreviation
Sumitomo Heavy Industries,SUMITOMO HEAVY INDUSTRIES,typography
Qualcomm Technologies,Qualcomm,partial
BOE Technology Group,BOE TECHNOLOGY GROUP,typography
Aeon Media Group,Aeon Media,brand_parent
KEPCO THE KANSAI ELECTRIC POWER,KEPCOTHEKANSAIELECTRICPOWER,punctuation
North Star Windows & Doors,North Star Windows,brand_parent
ELLWOOD National Forge,ELLWOOD NATIONAL FORGE,typography
Samsung SDS,SS,abbreviation
Advanced Bank of Asia,ADVANCED BANK OF ASIA,typography
Century Bank,CENTURY BANK,typography
Expeditors International,Expeditors,partial
NXP Semiconductors,NXPSemiconductors,punctuation
Scotiabank,scotiabank,typography
Turkish Airlines,TURKISH AIRLINES,typography
China Gas Holdings,ChinaGasHoldings,punctuation
Emirates NBD Bank,Emirates NBD,brand_parent
Westpac Banking,WESTPAC BANKING,typography
Fleetwood Metal Industries,FleetwoodMetalIndustries,punctuation
Empereon-Constar,empereon-constar,typography
Bank of Melbourne,bank of melbourne,typography
Invision Technologies,InvisionTechnologies,punctuation
Diamondback Energy,diamondback energy,typography
Mars,mars,typography
FUJIFILM Holdings,fujifilm holdings,typography
THE BANK OF NEW YORK MELLON,BNYM,abbreviation
Keurig Green Mountain,keurig green mountain,typography
Capio,CAPIO,typography
UBI Banca,UBI BANCA,typography
TUI Group,TUI GROUP,typography
NICE inContact,nice incontact,typography
Siemens,SIEMENS,typography
Vestas,VESTAS,typography
Morgan Stanley,MORGAN STANLEY,typography
Principal Financial Services,PFS,abbreviation
Flint Community Bank,Flint Community,brand_parent
Tealium,tealium,typography
IQVIA,iqvia,typography
Nutrafarms,NUTRAFARMS,typography
Bank of Ningbo,BankofNingbo,punctuation
Anthem Insurance Companies,AnthemInsuranceCompanies,punctuation
Tata Steel,TS,abbreviation
Citizens National Bank,CITIZENS NATIONAL BANK,typography
Pioneer Natural Resources,Pioneer,partial
British American Tobacco,British American,brand_parent
Marsh & McLennan,Marsh,partial
Al Rajhi Bank,al rajhi bank,typography
China Huarong Asset Management,ChinaHuarongAssetManagement,punctuation
Tokyo Century Corporation,tokyo century corporation,typography
Ping An Insurance (Group) Company of China,Ping An,partial
HUB International,HUB,partial
Huaneng Power International,Huaneng,partial
Schindler,SCHINDLER,typography
SEGA Europe,SEGA EUROPE,typography
ATC IP,ATC,partial
VTB,vtb,typography
Thales Group,ThalesGroup,punctuation
Continental Resources,continental resources,typography
NetApp,NETAPP,typography
SAIC Motor,saic motor,typography
Etisalat,ETISALAT,typography
Emterra Group,Emterra,partial
Berry Global,BerryGlobal,punctuation
FANUC,fanuc,typography
Sony,sony,typography
Merck & Co.,merck & co.,typography
Equinix,EQUINIX,typography
Brookfield Asset Managemen,BAM,abbreviation
Al Rajhi Bank,ARB,abbreviation
W. R. Berkley Corporation,W. R. Berkley,legal_suffix
AGL Energy,AGL,partial
ADVANCED INFO SERVICE,advanced info service,typography
Suncrest Bank,Suncrest,partial
Vonovia,vonovia,typography
MOL GROUP,MOLGROUP,punctuation
Ulta Beauty,ulta beauty,typography
Leggett & Platt,LEGGETT & PLATT,typography
wasp It labs,wasp it labs,typography
AEGON Life Insurance,AEGON Life,brand_parent
Fairfax Financial Holdings,FairfaxFinancialHoldings,punctuation
PUBLICIS GROUPE,PUBLICIS,partial
Essity Aktiebolag,Essity,partial
Lear Corporation,Lear,legal_suffix
SFS,sfs,typography
State Street,state street,typography
SEKISUI HOUSE,SEKISUI,partial
Galp,GALP,typography
PEGATRON Corporation,PEGATRONCorporation,punctuation
Leidos,LEIDOS,typography
Dufresne Furniture & Appliances,DFA,abbreviation
PUBLICIS GROUPE,PUBLICISGROUPE,punctuation
INSURANCE AUSTRALIA GROUP,INSURANCE,partial
GTJA Securities,GTJA,partial
Bank of Nanjing,BankofNanjing,punctuation
Northern Trust,NorthernTrust,punctuation
NT Financial Services,NT,partial
Bank of America,BANK OF AMERICA,typography
Swire Pacific,Swire,partial
Hesteel Group Tangsteel,HESTEEL GROUP TANGSTEEL,typography
Alibaba.com,ALIBABA.COM,typography
Investors Bank,INVESTORS BANK,typography
Quest Diagnostics,quest diagnostics,typography
OBAYASHI CORPORATION,OBAYASHICORPORATION,punctuation
Guaranty Bank & Trust,Guaranty Bank,brand_parent
Comerica Bank,Comerica,partial
Qurate Retail,QurateRetail,punctuation
Allcorp,ALLCORP,typography
Phillips 66,Phillips66,punctuation
KwaZulu-Natal Department of Health,KwaZulu-NatalDepartmentofHealth,punctuation
CMS Energy,CMSEnergy,punctuation
Cambodian National Insurance,CAMBODIAN NATIONAL INSURANCE,typography
Hong Kong Exchanges and Clearing,HONG KONG EXCHANGES AND CLEARING,typography
U Pack,UPack,punctuation
Bouygues,BOUYGUES,typography
NewAgeSys Solutions,NEWAGESYS SOLUTIONS,typography
Gecina,GECINA,typography
Sharp Corporation,sharp corporation,typography
Stanley Black & Decker,Stanley Black,brand_parent
Malayan Banking Berhad,malayan banking berhad,typography
H&M Hennes & Mauritz,HMHM,abbreviation
Malayan Banking Berhad,MalayanBankingBerhad,punctuation
Aluminum Corp,aluminum corp,typography
Krug,KRUG,typography
China Merchants Shekou Industrial Zone,China Merchants Shekou Industrial,brand_parent
J.M. Smucker,JMS,abbreviation
Linamar,LINAMAR,typography
Taiwan Semiconductor,TaiwanSemiconductor,punctuation
Southeastern Grocers,SoutheasternGrocers,punctuation
TransDigm Group,TransDigm,partial
American International Group,american international group,typography
Marriott International,Marriott,partial
Walgreens,walgreens,typography
TOYOTA INDUSTRIES,TOYOTAINDUSTRIES,punctuation
Sumitomo Mitsui Banking,Sumitomo Mitsui,brand_parent
Home Depot Product Authority,Home Depot Product,brand_parent
InterContinental Hotels Group,InterContinentalHotelsGroup,punctuation
Pembina Pipeline Corporation,PembinaPipelineCorporation,punctuation
Delta Regional Medical Center,delta regional medical center,typography
ONEOK,oneok,typography
MetLife Services and Solutions,MetLife Services and,brand_parent
The Siam Commercial Bank Public Company,the siam commercial bank public company,typography
DP World,DP,partial
Oriental Land,Oriental,partial
Tencent,TENCENT,typography
ConocoPhillips Company,conocophillips company,typography
AerCap,AERCAP,typography
London Stock Exchange,London Stock,brand_parent
TE Connectivity,te connectivity,typography
LogistiCare Solutions,LOGISTICARE SOLUTIONS,typography
Concordia Financial Group,Concordia Financial,brand_parent
Ulta Beauty,UltaBeauty,punctuation
CedarCrestWood.com,CedarCrestWoodcom,punctuation
Atos,atos,typography
Vita Group,Vita,partial
Edison International,edison international,typography
KPMG International,kpmg international,typography
Leggett & Platt,LeggettPlatt,punctuation
The Ritz-Carlton Hotel Company,THE RITZ-CARLTON HOTEL COMPANY,typography
Swatch Group,swatch group,typography
JULIUS BAER,JULIUS,partial
meituandianping,MEITUANDIANPING,typography
Quanta Computer,quanta computer,typography
Cigna Life Insurance New Zealand,CLINZ,abbreviation
Broadview Networks,broadview networks,typography
Yum! Brands,Yum!Brands,punctuation
WOORI FINANCIAL GROUP,WOORI FINANCIAL,brand_parent
SHANGHAI INTERNATIONAL GROUP,SHANGHAIINTERNATIONALGROUP,punctuation
Wilson N. Jones Regional Medical Center,WilsonNJonesRegionalMedicalCenter,punctuation
Zijin Mining Group,ZijinMiningGroup,punctuation
Stora Enso,Stora,partial
Royal Caribbean International,RoyalCaribbeanInternational,punctuation
Airports of Thailand,AirportsofThailand,punctuation
TENAGA NASIONAL,TENAGA,partial
KYUSHU ELECTRIC POWER,KYUSHUELECTRICPOWER,punctuation
Ally Financial,AllyFinancial,punctuation
Electronic Arts,Electronic,partial
China Everbright Bank,China Everbright,brand_parent
Power Grid Corporation of India,PowerGridCorporationofIndia,punctuation
Henderson Land Development,Henderson Land,brand_parent
Lincare Holdings,LincareHoldings,punctuation
3i Group,3iGroup,punctuation
Northwell Health,NORTHWELL HEALTH,typography
Suning Tesco Group,Suning Tesco,brand_parent
Regions Bank,Regions,partial
Dana,DANA,typography
Methodist Hospitals,MethodistHospitals,punctuation
Air Products & Chemicals,air products & chemicals,typography
Tokyo Electric Power Company,tokyo electric power company,typography
GENTEX CORPORATION,gentex corporation,typography
AIA Group,AIA,partial
NBCUniversal Media,NBCUniversal,partial
Atlas Copco,Atlas,partial
NEWS AMERICA MARKETING,NEWSAMERICAMARKETING,punctuation
Cintas Corporation,Cintas,legal_suffix
Surplus Furniture and Mattress Warehouse,Surplus Furniture and Mattress,brand_parent
Teva Pharmaceutical Industries,TPI,abbreviation
Walgreens Boots Alliance,WBA,abbreviation
AEGON Life Insurance,AEGON,partial
Sanlam Life Insurance,Sanlam,partial
Ultra-Grip International,Ultra Grip,brand_parent
CLP Holdings,clp holdings,typography
Tokyo Electric Power Company,Tokyo Electric Power,legal_suffix
Boston Consulting Group,Boston Consulting,brand_parent
Kellogg,KELLOGG,typography
Early Warning Services,EARLY WARNING SERVICES,typography
Suning Tesco Group,STG,abbreviation
Gallagher,GALLAGHER,typography
